Date,Open,High,Low,Close,Adj Close,Volume,Type
29-04-2023,23.366915,23.750763,22.987078,23.182997,23.182997,369964075,SOLANA
30-04-2023,23.183659,23.929724,22.832014,22.832014,22.832014,368042267,SOLANA
01-05-2023,22.828505,22.878492,21.640711,21.986633,21.986633,438350469,SOLANA
02-05-2023,21.986553,22.373878,21.772896,22.264978,22.264978,296722866,SOLANA
03-05-2023,22.265135,22.267185,21.2827,22.218002,22.218002,445797367,SOLANA
04-05-2023,22.218752,22.441139,21.651815,21.730349,21.730349,291826693,SOLANA
05-05-2023,21.730816,23.029722,21.706457,22.826111,22.826111,423211212,SOLANA
06-05-2023,22.828093,23.222301,21.729971,21.974262,21.974262,351934449,SOLANA
07-05-2023,21.971926,22.738605,21.808727,21.844229,21.844229,303626005,SOLANA
08-05-2023,21.807779,21.807779,20.26063,20.657463,20.657463,553548056,SOLANA
09-05-2023,20.658003,20.964788,20.459637,20.683645,20.683645,272780907,SOLANA
10-05-2023,20.682779,21.29501,20.165688,20.953711,20.953711,490700208,SOLANA
11-05-2023,20.9555,20.9555,19.855696,20.23488,20.23488,376535594,SOLANA
12-05-2023,20.232479,20.929598,19.864313,20.911795,20.911795,362726295,SOLANA
13-05-2023,20.969952,21.244516,20.844362,21.111286,21.111286,350780320,SOLANA
